Ticker,Day,Hour,Price
AAPL,2026-03-01,9:00,323.23
AAPL,2026-03-01,10:00,323.01
AAPL,2026-03-01,11:00,324.06
AAPL,2026-03-01,12:00,326.53
AAPL,2026-03-01,13:00,326.15
AAPL,2026-03-01,14:00,325.77
AAPL,2026-03-01,15:00,328.35
AAPL,2026-03-01,16:00,329.61
AAPL,2026-03-02,9:00,328.84
AAPL,2026-03-02,10:00,329.73
AAPL,2026-03-02,11:00,328.97
AAPL,2026-03-02,12:00,328.21
AAPL,2026-03-02,13:00,328.6
AAPL,2026-03-02,14:00,325.48
AAPL,2026-03-02,15:00,322.68
AAPL,2026-03-02,16:00,321.77
AAPL,2026-03-03,9:00,320.15
AAPL,2026-03-03,10:00,320.65
AAPL,2026-03-03,11:00,319.2
AAPL,2026-03-03,12:00,316.95
AAPL,2026-03-03,13:00,319.29
AAPL,2026-03-03,14:00,318.92
AAPL,2026-03-03,15:00,319.03
AAPL,2026-03-03,16:00,316.77
AAPL,2026-03-04,9:00,315.91
AAPL,2026-03-04,10:00,316.08
AAPL,2026-03-04,11:00,314.27
AAPL,2026-03-04,12:00,314.86
AAPL,2026-03-04,13:00,313.92
AAPL,2026-03-04,14:00,313.46
AAPL,2026-03-04,15:00,312.52
AAPL,2026-03-04,16:00,315.42
AAPL,2026-03-05,9:00,315.4
AAPL,2026-03-05,10:00,313.74
AAPL,2026-03-05,11:00,315.03
AAPL,2026-03-05,12:00,313.11
AAPL,2026-03-05,13:00,313.44
AAPL,2026-03-05,14:00,310.39
AAPL,2026-03-05,15:00,308.33
AAPL,2026-03-05,16:00,308.63
AAPL,2026-03-06,9:00,309.78
AAPL,2026-03-06,10:00,310.04
AAPL,2026-03-06,11:00,309.86
AAPL,2026-03-06,12:00,309.4
AAPL,2026-03-06,13:00,307.12
AAPL,2026-03-06,14:00,306.01
AAPL,2026-03-06,15:00,305.31
AAPL,2026-03-06,16:00,306.93
AAPL,2026-03-07,9:00,307.46
AAPL,2026-03-07,10:00,304.76
AAPL,2026-03-07,11:00,305.25
AAPL,2026-03-07,12:00,304.66
AAPL,2026-03-07,13:00,303.64
AAPL,2026-03-07,14:00,304.57
AAPL,2026-03-07,15:00,306.14
AAPL,2026-03-07,16:00,307.57
MSFT,2026-03-01,9:00,86.23
MSFT,2026-03-01,10:00,86.09
MSFT,2026-03-01,11:00,86.24
MSFT,2026-03-01,12:00,86.66
MSFT,2026-03-01,13:00,86.45
MSFT,2026-03-01,14:00,86.37
MSFT,2026-03-01,15:00,85.89
MSFT,2026-03-01,16:00,85.38
MSFT,2026-03-02,9:00,85.73
MSFT,2026-03-02,10:00,86.31
MSFT,2026-03-02,11:00,86.28
MSFT,2026-03-02,12:00,86.72
MSFT,2026-03-02,13:00,86.87
MSFT,2026-03-02,14:00,86.59
MSFT,2026-03-02,15:00,86.75
MSFT,2026-03-02,16:00,87.42
MSFT,2026-03-03,9:00,87.4
MSFT,2026-03-03,10:00,88.09
MSFT,2026-03-03,11:00,86.94
MSFT,2026-03-03,12:00,87.3
MSFT,2026-03-03,13:00,87.34
MSFT,2026-03-03,14:00,87.21
MSFT,2026-03-03,15:00,87.25
MSFT,2026-03-03,16:00,86.39
MSFT,2026-03-04,9:00,86.29
MSFT,2026-03-04,10:00,86.45
MSFT,2026-03-04,11:00,87.09
MSFT,2026-03-04,12:00,86.86
MSFT,2026-03-04,13:00,86.51
MSFT,2026-03-04,14:00,86.29
MSFT,2026-03-04,15:00,86.69
MSFT,2026-03-04,16:00,86.83
MSFT,2026-03-05,9:00,86.6
MSFT,2026-03-05,10:00,86.83
MSFT,2026-03-05,11:00,86.87
MSFT,2026-03-05,12:00,87.29
MSFT,2026-03-05,13:00,86.98
MSFT,2026-03-05,14:00,86.84
MSFT,2026-03-05,15:00,86.67
MSFT,2026-03-05,16:00,86.04
MSFT,2026-03-06,9:00,86.17
MSFT,2026-03-06,10:00,86.28
MSFT,2026-03-06,11:00,86.28
MSFT,2026-03-06,12:00,86.18
MSFT,2026-03-06,13:00,85.57
MSFT,2026-03-06,14:00,85.39
MSFT,2026-03-06,15:00,85.25
MSFT,2026-03-06,16:00,84.91
MSFT,2026-03-07,9:00,84.84
MSFT,2026-03-07,10:00,85.01
MSFT,2026-03-07,11:00,85.81
MSFT,2026-03-07,12:00,85.89
MSFT,2026-03-07,13:00,86.0
MSFT,2026-03-07,14:00,85.97
MSFT,2026-03-07,15:00,85.15
MSFT,2026-03-07,16:00,85.14
GOOGL,2026-03-01,9:00,204.28
GOOGL,2026-03-01,10:00,206.81
GOOGL,2026-03-01,11:00,206.61
GOOGL,2026-03-01,12:00,206.93
GOOGL,2026-03-01,13:00,206.89
GOOGL,2026-03-01,14:00,205.68
GOOGL,2026-03-01,15:00,206.86
GOOGL,2026-03-01,16:00,207.64
GOOGL,2026-03-02,9:00,208.47
GOOGL,2026-03-02,10:00,207.52
GOOGL,2026-03-02,11:00,208.98
GOOGL,2026-03-02,12:00,207.52
GOOGL,2026-03-02,13:00,208.13
GOOGL,2026-03-02,14:00,210.42
GOOGL,2026-03-02,15:00,209.38
GOOGL,2026-03-02,16:00,208.79
GOOGL,2026-03-03,9:00,208.89
GOOGL,2026-03-03,10:00,208.37
GOOGL,2026-03-03,11:00,206.76
GOOGL,2026-03-03,12:00,206.83
GOOGL,2026-03-03,13:00,205.74
GOOGL,2026-03-03,14:00,206.22
GOOGL,2026-03-03,15:00,205.28
GOOGL,2026-03-03,16:00,206.87
GOOGL,2026-03-04,9:00,206.07
GOOGL,2026-03-04,10:00,205.73
GOOGL,2026-03-04,11:00,206.57
GOOGL,2026-03-04,12:00,205.31
GOOGL,2026-03-04,13:00,205.54
GOOGL,2026-03-04,14:00,206.89
GOOGL,2026-03-04,15:00,205.23
GOOGL,2026-03-04,16:00,205.42
GOOGL,2026-03-05,9:00,205.69
GOOGL,2026-03-05,10:00,206.49
GOOGL,2026-03-05,11:00,205.22
GOOGL,2026-03-05,12:00,203.87
GOOGL,2026-03-05,13:00,204.4
GOOGL,2026-03-05,14:00,204.71
GOOGL,2026-03-05,15:00,204.96
GOOGL,2026-03-05,16:00,205.32
GOOGL,2026-03-06,9:00,204.62
GOOGL,2026-03-06,10:00,204.86
GOOGL,2026-03-06,11:00,205.16
GOOGL,2026-03-06,12:00,204.43
GOOGL,2026-03-06,13:00,206.34
GOOGL,2026-03-06,14:00,206.83
GOOGL,2026-03-06,15:00,205.6
GOOGL,2026-03-06,16:00,206.28
GOOGL,2026-03-07,9:00,205.28
GOOGL,2026-03-07,10:00,206.09
GOOGL,2026-03-07,11:00,207.28
GOOGL,2026-03-07,12:00,206.44
GOOGL,2026-03-07,13:00,207.43
GOOGL,2026-03-07,14:00,207.86
GOOGL,2026-03-07,15:00,208.72
GOOGL,2026-03-07,16:00,210.71
AMZN,2026-03-01,9:00,495.69
AMZN,2026-03-01,10:00,493.83
AMZN,2026-03-01,11:00,491.64
AMZN,2026-03-01,12:00,489.63
AMZN,2026-03-01,13:00,489.45
AMZN,2026-03-01,14:00,490.28
AMZN,2026-03-01,15:00,490.96
AMZN,2026-03-01,16:00,492.99
AMZN,2026-03-02,9:00,493.03
AMZN,2026-03-02,10:00,496.62
AMZN,2026-03-02,11:00,495.97
AMZN,2026-03-02,12:00,502.76
AMZN,2026-03-02,13:00,504.33
AMZN,2026-03-02,14:00,502.18
AMZN,2026-03-02,15:00,499.49
AMZN,2026-03-02,16:00,500.7
AMZN,2026-03-03,9:00,500.14
AMZN,2026-03-03,10:00,501.93
AMZN,2026-03-03,11:00,503.12
AMZN,2026-03-03,12:00,502.94
AMZN,2026-03-03,13:00,500.81
AMZN,2026-03-03,14:00,497.03
AMZN,2026-03-03,15:00,495.92
AMZN,2026-03-03,16:00,498.05
AMZN,2026-03-04,9:00,498.59
AMZN,2026-03-04,10:00,495.49
AMZN,2026-03-04,11:00,495.92
AMZN,2026-03-04,12:00,496.88
AMZN,2026-03-04,13:00,494.68
AMZN,2026-03-04,14:00,495.06
AMZN,2026-03-04,15:00,495.21
AMZN,2026-03-04,16:00,492.39
AMZN,2026-03-05,9:00,493.27
AMZN,2026-03-05,10:00,494.65
AMZN,2026-03-05,11:00,497.34
AMZN,2026-03-05,12:00,499.97
AMZN,2026-03-05,13:00,496.53
AMZN,2026-03-05,14:00,494.21
AMZN,2026-03-05,15:00,495.49
AMZN,2026-03-05,16:00,496.76
AMZN,2026-03-06,9:00,498.04
AMZN,2026-03-06,10:00,507.73
AMZN,2026-03-06,11:00,509.18
AMZN,2026-03-06,12:00,512.08
AMZN,2026-03-06,13:00,514.53
AMZN,2026-03-06,14:00,516.21
AMZN,2026-03-06,15:00,515.39
AMZN,2026-03-06,16:00,517.35
AMZN,2026-03-07,9:00,515.36
AMZN,2026-03-07,10:00,514.75
AMZN,2026-03-07,11:00,513.5
AMZN,2026-03-07,12:00,513.71
AMZN,2026-03-07,13:00,519.69
AMZN,2026-03-07,14:00,514.86
AMZN,2026-03-07,15:00,516.63
AMZN,2026-03-07,16:00,512.48
NVDA,2026-03-01,9:00,57.04
NVDA,2026-03-01,10:00,57.35
NVDA,2026-03-01,11:00,57.37
NVDA,2026-03-01,12:00,57.06
NVDA,2026-03-01,13:00,56.85
NVDA,2026-03-01,14:00,57.05
NVDA,2026-03-01,15:00,56.84
NVDA,2026-03-01,16:00,56.9
NVDA,2026-03-02,9:00,56.91
NVDA,2026-03-02,10:00,56.73
NVDA,2026-03-02,11:00,57.34
NVDA,2026-03-02,12:00,57.52
NVDA,2026-03-02,13:00,56.94
NVDA,2026-03-02,14:00,57.0
NVDA,2026-03-02,15:00,56.81
NVDA,2026-03-02,16:00,57.05
NVDA,2026-03-03,9:00,56.82
NVDA,2026-03-03,10:00,56.79
NVDA,2026-03-03,11:00,56.93
NVDA,2026-03-03,12:00,57.18
NVDA,2026-03-03,13:00,56.84
NVDA,2026-03-03,14:00,56.74
NVDA,2026-03-03,15:00,56.61
NVDA,2026-03-03,16:00,56.43
NVDA,2026-03-04,9:00,56.93
NVDA,2026-03-04,10:00,57.04
NVDA,2026-03-04,11:00,56.68
NVDA,2026-03-04,12:00,56.94
NVDA,2026-03-04,13:00,57.55
NVDA,2026-03-04,14:00,57.85
NVDA,2026-03-04,15:00,57.41
NVDA,2026-03-04,16:00,57.27
NVDA,2026-03-05,9:00,57.64
NVDA,2026-03-05,10:00,57.43
NVDA,2026-03-05,11:00,57.56
NVDA,2026-03-05,12:00,57.78
NVDA,2026-03-05,13:00,57.52
NVDA,2026-03-05,14:00,57.5
NVDA,2026-03-05,15:00,56.57
NVDA,2026-03-05,16:00,56.29
NVDA,2026-03-06,9:00,56.21
NVDA,2026-03-06,10:00,55.87
NVDA,2026-03-06,11:00,56.32
NVDA,2026-03-06,12:00,55.92
NVDA,2026-03-06,13:00,55.8
NVDA,2026-03-06,14:00,55.84
NVDA,2026-03-06,15:00,56.24
NVDA,2026-03-06,16:00,55.84
NVDA,2026-03-07,9:00,56.16
NVDA,2026-03-07,10:00,56.17
NVDA,2026-03-07,11:00,55.89
NVDA,2026-03-07,12:00,56.02
NVDA,2026-03-07,13:00,56.08
NVDA,2026-03-07,14:00,55.91
NVDA,2026-03-07,15:00,55.93
NVDA,2026-03-07,16:00,55.82
TSLA,2026-03-01,9:00,106.42
TSLA,2026-03-01,10:00,106.77
TSLA,2026-03-01,11:00,107.62
TSLA,2026-03-01,12:00,106.96
TSLA,2026-03-01,13:00,108.11
TSLA,2026-03-01,14:00,107.06
TSLA,2026-03-01,15:00,106.97
TSLA,2026-03-01,16:00,107.29
TSLA,2026-03-02,9:00,107.44
TSLA,2026-03-02,10:00,107.11
TSLA,2026-03-02,11:00,107.0
TSLA,2026-03-02,12:00,106.73
TSLA,2026-03-02,13:00,106.42
TSLA,2026-03-02,14:00,106.87
TSLA,2026-03-02,15:00,107.06
TSLA,2026-03-02,16:00,106.69
TSLA,2026-03-03,9:00,107.17
TSLA,2026-03-03,10:00,107.34
TSLA,2026-03-03,11:00,107.77
TSLA,2026-03-03,12:00,108.11
TSLA,2026-03-03,13:00,107.67
TSLA,2026-03-03,14:00,107.37
TSLA,2026-03-03,15:00,107.77
TSLA,2026-03-03,16:00,108.1
TSLA,2026-03-04,9:00,108.09
TSLA,2026-03-04,10:00,108.15
TSLA,2026-03-04,11:00,108.84
TSLA,2026-03-04,12:00,108.52
TSLA,2026-03-04,13:00,108.82
TSLA,2026-03-04,14:00,108.71
TSLA,2026-03-04,15:00,108.59
TSLA,2026-03-04,16:00,109.19
TSLA,2026-03-05,9:00,109.64
TSLA,2026-03-05,10:00,110.09
TSLA,2026-03-05,11:00,110.81
TSLA,2026-03-05,12:00,110.82
TSLA,2026-03-05,13:00,111.2
TSLA,2026-03-05,14:00,111.03
TSLA,2026-03-05,15:00,111.21
TSLA,2026-03-05,16:00,111.13
TSLA,2026-03-06,9:00,111.19
TSLA,2026-03-06,10:00,111.52
TSLA,2026-03-06,11:00,111.06
TSLA,2026-03-06,12:00,112.23
TSLA,2026-03-06,13:00,111.67
TSLA,2026-03-06,14:00,110.99
TSLA,2026-03-06,15:00,111.64
TSLA,2026-03-06,16:00,112.08
TSLA,2026-03-07,9:00,112.43
TSLA,2026-03-07,10:00,112.78
TSLA,2026-03-07,11:00,112.78
TSLA,2026-03-07,12:00,112.27
TSLA,2026-03-07,13:00,112.31
TSLA,2026-03-07,14:00,111.94
TSLA,2026-03-07,15:00,112.48
TSLA,2026-03-07,16:00,112.4
META,2026-03-01,9:00,293.63
