ticker,date,quantity,type,price,totalPrice,status,
NVDA,2026-03-07 11:59 PM,91,Sell,56.1,5105.1,Completed
PG,2026-03-07 04:34 PM,34,Deposit,429.51,14603.34,Completed
MSFT,2026-03-07 08:12 AM,32,Buy,82.68,2645.76,Pending
PG,2026-03-06 12:31 PM,60,Dividend,449.39,26963.4,Completed
META,2026-03-06 7:09 AM,11,Deposit,286.99,3156.89,Pending
JNJ,2026-03-05 11:59 PM,22,Deposit,107.4,2362.8,Pending
AAPL,2026-03-05 04:34 PM,10,Dividend,320.98,3209.8,Pending
DIS,2026-03-05 08:12 AM,93,Dividend,491.78,45735.54,Completed
DIS,2026-03-05 7:09 AM,66,Dividend,470.8,31072.8,Completed
JNJ,2026-03-04 11:59 PM,98,Deposit,102.55,10049.9,Completed
NVDA,2026-03-04 04:34 PM,11,Dividend,58.38,642.18,Completed
DIS,2026-03-02 11:59 PM,55,Deposit,455.59,25057.45,Completed
MSFT,2026-03-02 04:34 PM,26,Deposit,87.47,2274.22,Completed
MSFT,2026-02-27 11:59 PM,16,Dividend,85.36,1365.76,Completed
JPM,2026-02-27 04:34 PM,55,Buy,253.52,13943.6,Completed
GOOGL,2026-02-26 11:59 PM,78,Deposit,199.72,15578.16,Completed
DIS,2026-02-26 11:59 PM,36,Buy,466.83,16805.88,Completed
JNJ,2026-02-23 04:34 PM,57,Deposit,100.85,5748.45,Pending
PG,2026-02-22 11:59 PM,52,Dividend,460.46,23943.92,Completed
WMT,2026-02-22 04:34 PM,5,Sell,246.05,1230.25,Completed
PG,2026-02-21 11:59 PM,31,Deposit,458.79,14222.49,Completed
AMZN,2026-02-19 04:34 PM,45,Buy,478.82,21546.9,Completed
TSLA,2026-02-18 11:59 PM,34,Dividend,102.62,3489.08,Completed
JPM,2026-02-17 04:34 PM,70,Sell,255.93,17915.1,Completed
NFLX,2026-02-16 11:59 PM,95,Buy,416.31,39549.45,Completed
MSFT,2026-02-15 11:59 PM,35,Dividend,84.34,2951.9,Completed
META,2026-02-15 04:34 PM,73,Buy,285.15,20815.95,Completed
AAPL,2026-02-14 11:59 PM,89,Sell,332.08,29555.12,Pending
V,2026-02-14 04:34 PM,71,Buy,476.7,33845.7,Completed
META,2026-02-14 08:12 AM,82,Sell,290.27,23802.14,Completed
TSLA,2026-02-13 11:59 PM,32,Dividend,108.43,3469.76,Completed
DIS,2026-02-13 04:34 PM,98,Sell,469.04,45965.92,Completed
TSLA,2026-02-12 11:59 PM,52,Sell,101.56,5281.12,Completed
AMZN,2026-02-11 11:59 PM,52,Dividend,507.73,26401.96,Completed
JPM,2026-02-11 04:34 PM,28,Buy,246.83,6911.24,Completed
AMZN,2026-02-10 11:59 PM,93,Buy,487.87,45371.91,Completed
DIS,2026-02-10 04:34 PM,64,Buy,460.81,29491.84,Completed
JNJ,2026-02-10 08:12 AM,23,Deposit,102.86,2365.78,Completed
V,2026-02-10 7:09 AM,55,Sell,453.64,24950.2,Completed
AAPL,2026-02-09 11:59 PM,61,Dividend,322.07,19646.27,Pending
AAPL,2026-02-09 04:34 PM,83,Dividend,317.8,26377.4,Pending
DIS,2026-02-09 08:12 AM,5,Deposit,459.39,2296.95,Completed
AAPL,2026-02-08 11:59 PM,57,Dividend,323.83,18458.31,Pending
META,2026-02-08 04:34 PM,68,Sell,306.59,20848.12,Pending
GOOGL,2026-02-07 11:59 PM,44,Dividend,204.42,8994.48,Completed
NFLX,2026-02-07 08:12 AM,41,Buy,418.74,17168.34,Completed
AMZN,2026-02-06 11:59 PM,72,Deposit,486.07,34997.04,Pending
HD,2026-02-06 04:34 PM,86,Buy,378.61,32560.46,Completed
NVDA,2026-02-06 08:12 AM,65,Sell,54.62,3550.3,Completed
MSFT,2026-02-06 7:09 AM,82,Sell,83.79,6870.78,Completed
